name,nomenclature,gaia_dr3_id,ra_deg,dec_deg,pmra_mas_yr,pmdec_mas_yr,parallax_mas,magnitude_v,color_index,ecl_lon_deg,ecl_lat_deg,arc_vis_deg,lat_limit_deg
Ramus,102 Her,0,272.1895496947258,20.81455682891472,-2.073,-6.513,2.8036,4.3470001220703125,-0.1700000762939453,272.856864833236,44.2321250344616,15.216400146484375,69.18544317108528
Tusizuo,109 Her,0,275.924540442535,21.769752669179447,195.971,-243.234,26.9636,3.8399999141693115,1.1800000667572021,277.7978355902521,45.04879218300196,14.607999897003173,68.23024733082056
Paradys,alf Aps,0,221.96546289704744,-79.04475355458166,-5.133,-16.299,6.5509,3.7980000972747803,1.4490001201629639,254.42985740706416,-58.23486794339419,14.557600116729736,10.95524644541834
Honores,7 And,0,348.13751463414246,49.40620720203916,89.939,95.704,40.294,4.519999980926514,0.28999996185302734,15.727720162343946,48.5807284143451,15.423999977111816,40.59379279796084
Alfarasalkamil,omi And,0,345.4802708143367,42.32601551823333,18.841,-6.589,9.3051,3.619999885559082,-0.08999991416931152,7.779464494782043,43.75027070715352,14.343999862670898,47.67398448176667
Kaffalmusalsala,kap And,0,355.10211557957956,44.33393296378723,79.998,-19.011,19.4064,4.139999866485596,-0.07999992370605469,17.29851867349904,41.71799435453849,14.967999839782713,45.66606703621277
Rasalnaqa,iot And,0,354.53416793938504,43.26807305495556,27.163,-1.246,6.4313,4.289999961853027,-0.1100001335144043,16.084742394558017,41.029160927199634,15.147999954223632,46.73192694504444
Udkadua,lam And,0,354.39101158367913,46.45815131141917,159.606,-421.822,38.5736,3.819999933242798,1.0200002193450928,18.286923241387058,43.77587760278575,14.583999919891358,43.54184868858083
Kui,eta And,0,14.301667830110834,23.417650023123606,-43.008,-45.254,12.5624,4.420000076293945,0.940000057220459,22.376015239539328,15.93027286765401,15.304000091552734,66.5823499768764
Heng,nu. Cen,0,207.37615211559708,-41.68770852979139,-26.137,-21.226,8.0476,3.385999917984009,-0.1979999542236328,221.15423850794653,-28.268001624282842,14.06319990158081,48.31229147020861
Shimu,zet And,0,11.834690495196249,24.267178550475833,-101.068,-80.276,18.0083,4.059999942779541,1.119999885559082,20.57992575048518,17.620259361885683,14.871999931335449,65.73282144952417
Kulou,iot Cen,0,200.14922006503957,-36.712304581225,-339.615,-82.181,56.0571,2.7300000190734863,0.029999971389770508,213.1288251899198,-26.016250233711876,13.276000022888184,53.287695418775
Quadrans,i Boo,0,225.94706519512025,47.65406187958964,-445.84,19.86,79.95,0.0,0.0,197.77765732710532,60.53708712028467,10.0,42.34593812041036
Hoerikwaggo,alf Men,0,92.56030242653,-74.75304398106,121.596,-212.411,97.9158,5.068999767303467,0.7290000915527344,265.29505485701657,-81.76579575822264,16.08279972076416,15.246956018939997
Safina,c02 Aqr,0,347.36165018724955,-21.172415205008054,53.452,30.201,12.671,3.640000104904175,1.2299997806549072,340.0177551944738,-14.490230192399661,14.36800012588501,68.82758479499195
Xami,alf Cir,0,220.62675271705453,-64.97513301263639,-193.169,-234.982,60.993,3.190000057220459,0.24000000953674316,242.3626528090079,-46.20256091671022,13.82800006866455,25.02486698736361
Zhou,bet Ser,0,236.54689658602248,15.421819296846387,65.958,-47.791,21.5924,3.6700000762939453,0.059999942779541016,229.94846763852536,34.32666046574447,14.404000091552735,74.5781807031536
Solitaire,E Hya,0,222.57211788284,-27.960361231049998,-238.58,-62.451,10.8024,4.409999847412109,1.4000000953674316,228.48165526052648,-11.097544124960434,15.291999816894531,62.03963876895
Garnet Star,mu. Cep,0,325.8769148160595,58.78004609373167,3.439,-4.108,0.119,4.079999923706055,2.3499999046325684,9.70707842119532,64.19435674602205,14.895999908447266,31.21995390626833
Lang-Exster,alf Tuc,0,334.62546848872375,-60.259629544748336,-77.0,-32.823,17.7324,2.819999933242798,1.3599998950958252,309.67138352966265,-45.40381828793295,13.383999919891357,29.740370455251664
Rhombus,alf Ret,0,63.60612501835416,-62.47380348899389,45.069,42.948,20.3431,3.359999895095825,0.9100000858306885,7.506110176214272,-78.04043015864572,14.031999874114991,27.526196511006113
Tengshe,VV424 Lac,0,344.10832662542,49.73354408009,-0.649,-2.768,1.4018,4.940000057220459,1.7699999809265137,12.79228455314288,50.397099139099666,15.92800006866455,40.26645591991
Uridim,alf Lup,0,220.4823157775,-47.38819874611111,-20.94,-23.67,7.02,2.2860000133514404,-0.16000008583068848,233.5037714972995,-30.02587044046084,12.743200016021728,42.61180125388889
Stellio,alf Lac,0,337.8229225889383,50.28249164252277,137.243,17.54,31.4943,3.7699999809265137,0.009999990463256836,8.143185513779056,53.29053267419503,14.523999977111817,39.71750835747723
Pipit,nu. Pup,0,99.44030260969878,-43.195935686955835,-0.537,-3.859,8.8194,3.1700000762939453,-0.1100001335144043,107.1479285296027,-66.07417789075687,13.804000091552734,46.804064313044165
Bake-eo,gam Oph,0,266.9731691245113,2.7072791218991665,-23.936,-74.462,33.6174,3.75,0.04999995231628418,266.6325352187522,26.11118368575873,14.5,87.29272087810084
Leepwal,zet Cen,0,208.88494019857197,-47.28837451101241,-57.37,-44.55,8.54,2.549999952316284,-0.2200000286102295,224.9506055289229,-32.94336151004893,13.059999942779541,42.71162548898759
Shaomin,rho Leo,0,158.20279329541543,9.306584816652224,-6.35,-3.3,1.5913,3.869999885559082,-0.14999985694885254,156.38891970199722,0.14973191661136823,14.6439998626709,80.69341518334778
Yunü,31 Leo,0,151.9761254861525,9.997506874934166,-82.021,-64.844,11.0209,4.380000114440918,1.440000057220459,150.41386971078947,-1.419569909529862,15.256000137329101,80.00249312506584
Antinous,tet Aql,0,302.82619454879625,-0.8214635937475,35.582,4.596,14.2687,3.2200000286102295,-0.06999993324279785,304.9135097128855,18.72773212759304,13.864000034332275,89.1785364062525
Phyllon Kissinou,23 Com,0,188.71280340925497,22.62920599761361,-58.83,22.771,9.1148,4.7729997634887695,0.0,178.44491363833276,24.118984538826837,15.727599716186523,67.37079400238639
Tianfu,tau Aql,0,301.0346453325,7.277964387570001,14.201,12.049,6.0972,5.507999897003174,1.0560002326965332,305.0344632025833,27.021249845796838,16.60959987640381,82.72203561243
Aiolos,HD  95086,0,164.26258988328,-68.66734700448,-41.128,12.861,11.5659,7.360000133514404,0.23999977111816406,218.64783011733343,-63.36338957329701,18.832000160217284,21.332652995519993
Añañuca,CD-45  5378,0,146.12431987074373,-45.776507677690276,-462.621,-582.668,106.1727,9.979000091552734,1.3929996490478516,172.94911656747684,-54.30452147951189,21.97480010986328,44.223492322309724
