asteroid_number,family_name,family_id,catalog_source,population,reported_family_member_count,is_primary
316,Themis,P25-3002,Proper25_2026,main_belt,13627,true
318,Eos,P25-3006,Proper25_2026,main_belt,33006,true
320,Eos,P25-3006,Proper25_2026,main_belt,33006,true
321,Florentina,P25-3043,Proper25_2026,main_belt,209,true
321,Karin,P25-3010,Proper25_2026,main_belt,3863,false
321,Koronis2,P25-3021,Proper25_2026,main_belt,3863,false
321,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
322,Phaeo,P25-2030,Proper25_2026,main_belt,677,true
323,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
326,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
329,Svea,P25-1016,Proper25_2026,main_belt,436,true
336,Vesta,P25-1001,Proper25_2026,main_belt,27121,true
339,Eos,P25-3006,Proper25_2026,main_belt,33006,true
342,Endymion,P25-2048,Proper25_2026,main_belt,33,true
345,Tercidina,P25-1024,Proper25_2026,main_belt,429,true
350,Ornamenta,P25-6006,Proper25_2026,main_belt,716,true
350,Alauda,P25-6002,Proper25_2026,main_belt,3556,false
351,Yrsa,P25-2049,Proper25_2026,main_belt,242,true
363,Padua,P25-2007,Proper25_2026,main_belt,1683,true
364,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
364,Flora,P25-1002,Proper25_2026,main_belt,23002,false
369,Aeria,P25-2039,Proper25_2026,main_belt,117,true
375,Ursula,P25-3031,Proper25_2026,main_belt,5228,true
379,Themis,P25-3002,Proper25_2026,main_belt,13627,true
383,Themis,P25-3002,Proper25_2026,main_belt,13627,true
386,Siegena,P25-6007,Proper25_2026,main_belt,168,true
387,Postrema,P25-2041,Proper25_2026,main_belt,279,true
389,Industria,P25-2050,Proper25_2026,main_belt,464,true
391,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
392,Wilhelmina,P25-3044,Proper25_2026,main_belt,45,true
392,Brasilia,P25-3008,Proper25_2026,main_belt,3466,false
396,Aeolia,P25-2008,Proper25_2026,main_belt,1788,true
404,Juno,P25-2001,Proper25_2026,main_belt,16373,true
410,Chloris,P25-2009,Proper25_2026,main_belt,1071,true
414,Liriope,P25-3061,Proper25_2026,main_belt,14,true
428,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
428,Flora,P25-1002,Proper25_2026,main_belt,23002,false
434,Hungaria,P25-4002,Proper25_2026,main_belt,3914,true
446,Aeternitas,P25-2051,Proper25_2026,main_belt,447,true
450,Eos,P25-3006,Proper25_2026,main_belt,33006,true
452,Kutaissi,P25-3046,Proper25_2026,main_belt,371,true
452,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
461,Themis,P25-3002,Proper25_2026,main_belt,13627,true
462,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
468,Themis,P25-3002,Proper25_2026,main_belt,13627,true
473,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
478,1986QN1,P25-3088,Proper25_2026,main_belt,100,true
480,Hansa,P25-5003,Proper25_2026,main_belt,5214,true
490,Veritas,P25-3009,Proper25_2026,main_belt,6375,true
490,Eos,P25-3006,Proper25_2026,main_belt,33006,false
492,Themis,P25-3002,Proper25_2026,main_belt,13627,true
496,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
496,Flora,P25-1002,Proper25_2026,main_belt,23002,false
502,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
507,Eos,P25-3006,Proper25_2026,main_belt,33006,true
511,Davida,P25-3004,Proper25_2026,main_belt,444,true
515,Themis,P25-3002,Proper25_2026,main_belt,13627,true
520,Eos,P25-3006,Proper25_2026,main_belt,33006,true
522,Helga,P25-3062,Proper25_2026,main_belt,34,true
525,Adelaide,P25-1044,Proper25_2026,main_belt,86,true
525,Flora,P25-1002,Proper25_2026,main_belt,23002,false
526,Themis,P25-3002,Proper25_2026,main_belt,13627,true
529,Eos,P25-3006,Proper25_2026,main_belt,33006,true
531,Pallas,P25-5001,Proper25_2026,main_belt,515,true
534,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
538,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
539,Pamina,P25-2052,Proper25_2026,main_belt,81,true
540,Flora,P25-1002,Proper25_2026,main_belt,23002,true
547,Postrema,P25-2041,Proper25_2026,main_belt,279,true
553,Flora,P25-1002,Proper25_2026,main_belt,23002,true
556,Vesta,P25-1001,Proper25_2026,main_belt,27121,true
561,Themis,P25-3002,Proper25_2026,main_belt,13627,true
562,Eos,P25-3006,Proper25_2026,main_belt,33006,true
569,Misa,P25-2010,Proper25_2026,main_belt,2811,true
573,Eos,P25-3006,Proper25_2026,main_belt,33006,true
577,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
579,Eos,P25-3006,Proper25_2026,main_belt,33006,true
587,Chesneau,P25-4019,Proper25_2026,main_belt,351,true
587,Phocaea,P25-4001,Proper25_2026,main_belt,8406,false
589,Croatia,P25-3038,Proper25_2026,main_belt,166,true
590,Patsy,P25-3074,Proper25_2026,main_belt,826,true
590,Eos,P25-3006,Proper25_2026,main_belt,33006,false
591,Juno,P25-2001,Proper25_2026,main_belt,16373,true
593,Titania,P25-2053,Proper25_2026,main_belt,297,true
599,Postrema,P25-2041,Proper25_2026,main_belt,279,true
606,Brangane,P25-2011,Proper25_2026,main_belt,1545,true
608,Eos,P25-3006,Proper25_2026,main_belt,33006,true
612,Alauda,P25-6002,Proper25_2026,main_belt,3556,true
616,Maria,P25-2006,Proper25_2026,main_belt,1683,true
618,Elfriede,P25-3032,Proper25_2026,main_belt,1081,true
618,Ursula,P25-3031,Proper25_2026,main_belt,5228,false
621,Themis,P25-3002,Proper25_2026,main_belt,13627,true
623,Chimaera,P25-1014,Proper25_2026,main_belt,563,true
624,Hector,PDS2015-004,NASA_PDS_2015_excluded_population,jupiter_trojan,12,true
627,Charis,P25-3016,Proper25_2026,main_belt,3444,true
630,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
633,Zelima,P25-3063,Proper25_2026,main_belt,88,true
633,Eos,P25-3006,Proper25_2026,main_belt,33006,false
637,Themis,P25-3002,Proper25_2026,main_belt,13627,true
639,Eos,P25-3006,Proper25_2026,main_belt,33006,true
651,Eos,P25-3006,Proper25_2026,main_belt,33006,true
653,Eos,P25-3006,Proper25_2026,main_belt,33006,true
656,Themis,P25-3002,Proper25_2026,main_belt,13627,true
658,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
660,Crescentia,P25-2054,Proper25_2026,main_belt,805,true
660,Maria,P25-2006,Proper25_2026,main_belt,1683,false
661,Eos,P25-3006,Proper25_2026,main_belt,33006,true
665,Tirela,P25-3012,Proper25_2026,main_belt,14114,true
668,Dora,P25-2012,Proper25_2026,main_belt,4906,true
669,Eos,P25-3006,Proper25_2026,main_belt,33006,true
678,2002CS52,P25-2082,Proper25_2026,main_belt,216,true
685,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
685,Flora,P25-1002,Proper25_2026,main_belt,23002,false
686,Gersuind,P25-5004,Proper25_2026,main_belt,567,true
690,Wratislavia,P25-3064,Proper25_2026,main_belt,820,true
695,Maria,P25-2006,Proper25_2026,main_belt,1683,true
697,Brasilia,P25-3008,Proper25_2026,main_belt,3466,true
700,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
700,Flora,P25-1002,Proper25_2026,main_belt,23002,false
702,Alauda,P25-6002,Proper25_2026,main_belt,3556,true
704,Interamnia,P25-6008,Proper25_2026,main_belt,413,true
709,Fringilla,P25-3023,Proper25_2026,main_belt,498,true
710,Themis,P25-3002,Proper25_2026,main_belt,13627,true
711,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
711,Flora,P25-1002,Proper25_2026,main_belt,23002,false
720,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
727,Nipponia,P25-2055,Proper25_2026,main_belt,510,true
729,Watsonia,P25-2037,Proper25_2026,main_belt,226,true
742,Eos,P25-3006,Proper25_2026,main_belt,33006,true
752,Sulamitis,P25-1008,Proper25_2026,main_belt,825,true
754,Malabar,P25-6009,Proper25_2026,main_belt,79,true
761,Karin,P25-3010,Proper25_2026,main_belt,3863,true
761,Koronis2,P25-3021,Proper25_2026,main_belt,3863,false
761,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
763,VandenBos,P25-1029,Proper25_2026,main_belt,285,true
763,Flora,P25-1002,Proper25_2026,main_belt,23002,false
766,Eos,P25-3006,Proper25_2026,main_belt,33006,true
767,Themis,P25-3002,Proper25_2026,main_belt,13627,true
772,Euphrosyne,P25-6001,Proper25_2026,main_belt,15488,true
775,Eos,P25-3006,Proper25_2026,main_belt,33006,true
776,Fringilla,P25-3023,Proper25_2026,main_belt,498,true
778,Theobalda,P25-3017,Proper25_2026,main_belt,4848,true
780,Armenia,P25-6005,Proper25_2026,main_belt,393,true
789,Adeona,P25-2005,Proper25_2026,main_belt,7382,true
798,Eos,P25-3006,Proper25_2026,main_belt,33006,true
801,Helwerthia,P25-2056,Proper25_2026,main_belt,175,true
807,Eos,P25-3006,Proper25_2026,main_belt,33006,true
808,Merxia,P25-2013,Proper25_2026,main_belt,4226,true
809,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
809,Flora,P25-1002,Proper25_2026,main_belt,23002,false
812,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
816,Juliana,P25-3041,Proper25_2026,main_belt,314,true
823,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
823,Flora,P25-1002,Proper25_2026,main_belt,23002,false
831,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
831,Flora,P25-1002,Proper25_2026,main_belt,23002,false
832,Karin,P25-3010,Proper25_2026,main_belt,3863,true
832,Koronis2,P25-3021,Proper25_2026,main_belt,3863,false
832,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
833,Eos,P25-3006,Proper25_2026,main_belt,33006,true
836,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
836,Flora,P25-1002,Proper25_2026,main_belt,23002,false
845,Naema,P25-3011,Proper25_2026,main_belt,1313,true
846,Themis,P25-3002,Proper25_2026,main_belt,13627,true
847,Agnia,P25-2014,Proper25_2026,main_belt,8374,true
848,Themis,P25-3002,Proper25_2026,main_belt,13627,true
850,Altona,P25-3065,Proper25_2026,main_belt,73,true
852,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
864,Flora,P25-1002,Proper25_2026,main_belt,23002,true
867,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
871,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
871,Flora,P25-1002,Proper25_2026,main_belt,23002,false
875,Maria,P25-2006,Proper25_2026,main_belt,1683,true
876,Eos,P25-3006,Proper25_2026,main_belt,33006,true
878,Nysa-Polana,P25-1005,Proper25_2026,main_belt,38648,true
883,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
883,Flora,P25-1002,Proper25_2026,main_belt,23002,false
885,Ulrike,P25-3066,Proper25_2026,main_belt,45,true
890,Eos,P25-3006,Proper25_2026,main_belt,33006,true
892,Alauda,P25-6002,Proper25_2026,main_belt,3556,true
895,Euphrosyne,P25-6001,Proper25_2026,main_belt,15488,true
897,Maria,P25-2006,Proper25_2026,main_belt,1683,true
902,Asia,P25-1020,Proper25_2026,main_belt,569,true
905,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
905,Flora,P25-1002,Proper25_2026,main_belt,23002,false
909,Ulla,P25-6003,Proper25_2026,main_belt,103,true
915,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
915,Flora,P25-1002,Proper25_2026,main_belt,23002,false
918,Itha,P25-3033,Proper25_2026,main_belt,155,true
924,Toni,P25-3045,Proper25_2026,main_belt,50,true
